icd10,description
"X01","Exposure to uncontrolled fire, not in building or structure"
"X02","Exposure to controlled fire in building or structure"
"X03","Exposure to controlled fire, not in building or structure"
"X04","Exposure to ignition of highly flammable material"
"X05","Exposure to ignition or melting of nightwear"
"X06","Exposure to ignition or melting of other clothing and apparel"
"X08","Exposure to other specified smoke, fire and flames"
"X09","Exposure to unspecified smoke, fire and flames"
"X10","Contact with hot drinks, food, fats and cooking oils"
"X11","Contact with hot tap-water"
"X12","Contact with other hot fluids"
"X13","Contact with steam and hot vapours"
"X14","Contact with hot air and gases"
"X15","Contact with hot household appliances"
"X16","Contact with hot heating appliances, radiators and pipes"
"X17","Contact with hot engines, machinery and tools"
"X18","Contact with other hot metals"
"X19","Contact with other and unspecified heat and hot substances"
"X20","Contact with venomous snakes and lizards"
"X21","Contact with venomous spiders"
"X22","Contact with scorpions"
"X23","Contact with hornets, wasps and bees"
"X24","Contact with centipedes and venomous millipedes (tropical)"
"X25","Contact with other venomous arthropods"
"X26","Contact with venomous marine animals and plants"
"X27","Contact with other specified venomous animals"
"X28","Contact with other specified venomous plants"
"X29","Contact with unspecified venomous animal or plant"
"X30","Exposure to excessive natural heat"
"X31","Exposure to excessive natural cold"
"X32","Exposure to sunlight"
"X33","Victim of lightning"
"X34","Victim of earthquake"
"X340","Victim of cataclysmic earth movements caused by earthquake"
"X341","Victim of tsunami"
"X348","Victim of other specified effects of earthquake"
"X349","Victim of unspecified effect of earthquake"
"X35","Victim of volcanic eruption"
"X36","Victim of avalanche, landslide and other earth movements"
"X37","Victim of cataclysmic storm"
"X38","Victim of flood"
"X39","Exposure to other and unspecified forces of nature"
"X40","Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"
"X41","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"
"X42","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"
"X43","Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system"
"X44","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"
"X45","Accidental poisoning by and exposure to alcohol"
"X46","Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours"
"X47","Accidental poisoning by and exposure to carbon monoxide and other gases and vapours"
"X470","Accidental poisoning by and exposure to carbon monoxide from combustion engine exhaust"
"X471","Accidental poisoning by and exposure to carbon monoxide from utility gas"
"X472","Accidental poisoning by and exposure to carbon monoxide from other domestic fuels"
"X473","Accidental poisoning by and exposure to carbon monoxide from other sources"
"X474","Accidental poisoning by and exposure to carbon monoxide from unspecified sources"
"X478","Accidental poisoning by and exposure to other specified gases and vapours"
"X479","Accidental poisoning by and exposure to unspecified gases and vapours"
"X48","Accidental poisoning by and exposure to pesticides"
"X49","Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances"
"X50","Overexertion and strenuous or repetitive movements"
"X51","Travel and motion"
"X52","Prolonged stay in weightless environment"
"X53","Lack of food"
"X54","Lack of water"
"X57","Unspecified privation"
"X58","Exposure to other specified factors"
"X59","Exposure to unspecified factor"
"X590","Exposure to unspecified factor causing fracture"
"X599","Exposure to unspecified factor causing other and unspecified injury"
"X85","Assault by drugs, medicaments and biological substances"
"X86","Assault by corrosive substance"
"X87","Assault by pesticides"
"X88","Assault by gases and vapours"
"X880","Assault by carbon monoxide from combustion engine exhaust"
"X881","Assault by carbon monoxide from utility gas"
"X882","Assault by carbon monoxide from other domestic fuels"
"X883","Assault by carbon monoxide from other sources"
"X884","Assault by carbon monoxide from unspecified sources"
"X888","Assault by other specified gases and vapours"
"X889","Assault by unspecified gases and vapours"
"X89","Assault by other specified chemicals and noxious substances"
"X90","Assault by unspecified chemical or noxious substance"
"X91","Assault by hanging, strangulation and suffocation"
"X92","Assault by drowning and submersion"
"X93","Assault by handgun discharge"
"X94","Assault by rifle, shotgun and larger firearm discharge"
"X95","Assault by other and unspecified firearm discharge"
"X96","Assault by explosive material"
"X97","Assault by smoke, fire and flames"
"X98","Assault by steam, hot vapours and hot objects"
"X99","Assault by sharp object"
